,category_level_1,total_price_in_basket,number_of_unique_basket
225,Pressure Washers,2455.3333333333335,9
226,"Protective Gloves, Goggles & Masks",337.9052358490566,212
227,Ratchets & Sockets,189.50108643202134,810
228,Rechargeable & Flashlights,168.31630230575092,5736
229,Refrigerator Parts & Accessories,558.1007227281777,166
230,Rice Cookers,591.7004511553542,133
231,Roofing & Flooring,884.1133823529411,144
232,Rotary Tool Parts & Accessories,150.7780723052427,581
233,Rugs & Carpets,451.2122830043565,1683
234,Safety Gloves,280.55312885793444,172
235,Safety Locks & Straps,412.08012820512823,312
236,Salt & Pepper Tools,350.2298717586811,78
237,"Saws, Cut-off Machines & Grinders",1597.4782608695652,23
238,Scale & Body Fat Analyzers,228.5999765588373,17064
239,Screw & Nut Drivers,393.1668461752305,260
240,Sealers,321.6162790697674,344
241,Sewing Machines,473.2536101037688,3529
242,Sewing Machines & Accessories,534.5728935405434,9459
243,Shades & Awnings,1084.894675349859,462
244,Shelters & Canopies,797.4730091116394,3084
245,Shelves & Racks,683.8288962003074,114880
246,Shoe Organisers,221.07851236041998,25473
247,Shoe Storage Boxes,472.43822245055225,3915
248,Shopping Trolleys & Carriers,361.0987725783695,220
249,Shower Caddies & Hangers,252.83096264576736,5011
250,Shower Curtain,363.50955243253,67
251,Shower Curtains,311.04433497536945,203
252,Showerheads,615.65125,8
253,Showerheads & Bidet Sprays,822.0495867768595,121
254,Side Tables,374.04754629031385,5081
255,Sideboards & Buffets,664.2153333918254,272
256,Sinks & Water Taps,1413.0,30
257,Sofas,2912.032235998544,52724
258,Space Savers,797.1316316719511,4445
259,Spanner Sets,355.4377880184332,652
260,Spatulas & Cooking Tweezers,369.36556909515167,3857
261,Specialty Cookware,772.310003051758,2
262,Specialty Cookware Accessories,855.2218740558624,16
263,Specialty Glassware,178.81459369615735,1526
264,Sponges & Applicators,212.8216273047283,424
265,Sponges & Scouring Pads,442.2131314269615,7127
266,"Sponges, Scourers & Cloths",256.86634350532904,4600
267,"Steamers, Stock & Pasta Pots",631.8770584495395,51
268,Stick Vacuum Cleaners,964.0575001239777,8
269,Storage Boxes,447.00667006203923,9156
270,"Storage Boxes, Bags & Baskets",496.63078098571015,17191
271,Strainers,522.1340995415849,3055
272,Straws,301.2582479508197,1952
273,Strollers & Travel Systems,844.3,20
274,T-Shirts,639.0,1
275,Tea Pots & Sets,315.81491370558376,1970
276,"Tea, Coffee & Bartending Equipments",539.0756048387096,992
277,Teapots & Coffee Servers,272.7219608254942,918
278,Tents,1341.8636117977567,36
279,Tents & Tent Accessories,1090.7750223214284,4480
280,Thermal Flasks & Containers,192.71342244247458,7598
281,Tissue & Paper Towels,127.30575481301172,22595
282,Tissue Holders,439.7472491159156,4616
283,"Toilet Bowls, Seats & Covers",424.05882352941177,221
284,Toilet Brushes,340.1227706158419,462
285,Toilet Covers,167.3766365749769,996
286,Toilet Paper,831.9672585142812,62
287,Toilets & Toilet Parts,428.4349999979065,82
288,Tool Boxes,563.9478991596638,595
289,Tool Sets,349.50305398107287,167
290,Tool Storage & Shelving,1043.527729748145,348
291,Toothbrush Holders,415.73975472481743,530
292,Toothbrush Holders & Toothpaste Dispensers,418.82670654468683,4263
293,Tote Bags,532.3730106485963,1037
294,Towel Rails & Warmers,794.0091305873705,23
295,Towels,327.0874627600143,67
296,Traps & Drains,480.802330981735,133
297,Trash & Recycling Bins,681.7764846834582,7352
298,Travel Size Bottles & Containers,191.25812144996334,2691
299,Travel Systems,196.07602154044696,93
